EspecieCodigo,CategoriaCodigo,CategoriaDescripcion,CategoriaPonderacionUG
1,1,1) TOROS,"1,25"
1,2,2) VACAS DE CRIA (ENTORADAS),"1,03"
1,3,3) VACAS DE INVERNADA,"1,00"
1,4,4) NOVILLOS DE MAS DE 3 AÑOS,"1,15"
1,5,5) NOVILLOS DE 2 A 3 AÑOS,"0,90"
1,6,6) NOVILLOS DE 1 A 2 AÑOS,"0,80"
1,7,7) VAQUILLONA DE MAS DE 2 AÑOS SIN ENTORAR,"0,90"
1,8,8) VAQUILLONAS DE 1 A 2 AÑOS,"0,70"
1,9,9) TERNEROS/TERNERAS,"0,50"
2,1,1) CARNEROS,"0,17"
2,2,2) OVEJAS DE CRIA(ENCARNERADAS),"0,17"
2,3,3) OVEJAS DE DESCARTE(CONSUMO),"0,15"
2,4,4) CAPONES,"0,15"
2,5,5) BORREGAS 2 A 4 DIENTES SIN ENCARNERAR,"0,13"
2,6,6) CORDERAS DIENTE DE LECHE,"0,11"
2,7,7) CORDEROS DIENTE DE LECHE,"0,11"
2,8,8) CORDEROS/AS MAMONES,"0,08"
3,1,1) PADRILLOS,"1,20"
3,2,2) YEGUAS,"1,20"
3,3,3) CABALLOS,"1,20"
3,4,4) POTRILLOS/POTRANCAS,"1,20"
3,5,5) POTRILLOS/POTRANCAS AL PIE DE LA MADRE,"1,20"
4,1,1) MACHOS REPRODUCTORES,"0,00"
4,2,2) HEMBRAS EN ORDEÑE,"0,00"
4,3,3) HEMBRAS SECAS,"0,00"
4,4,4) HEMBRAS DE CRÍA,"0,00"
4,5,5) MACHOS CAPONES,"0,00"
4,6,6) HEMBRAS MENOS DE 1 AÑO,"0,00"
4,7,7) MACHOS MENOS DE 1 AÑO,"0,00"
5,1,1) PADRILLOS,"0,00"
5,2,2) MADRES,"0,00"
5,3,3) CERDOS DE MÁS DE 90 KG,"0,00"
5,4,4) CACHORROS DE HASTA 90 KG,"0,00"
5,5,5) LECHONES AL PIE DE LA MADRE,"0,00"
11,1,1) TOROS,"0,55"
11,2,2) VACAS EN ORDEÑE,"0,58"
11,3,3) VACAS SECAS,"0,18"
11,4,4) VAQUILLONAS DE MÁS DE 2 AÑOS SIN ENTORAR,"0,00"
11,5,5) VAQUILLONAS DE 1 Ó 2 AÑOS,"0,00"
11,6,6) TERNEROS DE MENOS DE 1 AÑO,"0,00"
11,7,7) TERNERAS DE MENOS DE 1 AÑO,"0,00"
